id	state_id	slug	name	county_type	county_id	fips	wikipedia	twitter	url	population	area
1	2	alaska/aleutians-east-borough	Aleutians East	Borough	13	02013						
2	2	alaska/aleutians-west-census-area	Aleutians West	Census Area	16	02016						
3	2	alaska/anchorage-borough	Anchorage	Borough	20	02020						
4	2	alaska/bethel-census-area	Bethel	Census Area	50	02050						
5	2	alaska/bristol-bay-borough	Bristol Bay	Borough	60	02060						
6	2	alaska/denali-borough	Denali	Borough	68	02068						
7	2	alaska/dillingham-census-area	Dillingham	Census Area	70	02070						
8	2	alaska/fairbanks-north-star-borough	Fairbanks North Star	Borough	90	02090						
9	2	alaska/haines-borough	Haines	Borough	100	02100						
10	2	alaska/hoonah-angoon-census-area	Hoonah-Angoon	Census Area	105	02105						
11	2	alaska/juneau-borough	Juneau	Borough	110	02110						
12	2	alaska/kenai-peninsula-borough	Kenai Peninsula	Borough	122	02122						
13	2	alaska/ketchikan-gateway-borough	Ketchikan Gateway	Borough	130	02130						
14	2	alaska/kodiak-island-borough	Kodiak Island	Borough	150	02150						
15	2	alaska/lake-and-peninsula-borough	Lake and Peninsula	Borough	164	02164						
16	2	alaska/matanuska-susitna-borough	Matanuska-Susitna	Borough	170	02170						
17	2	alaska/nome-census-area	Nome	Census Area	180	02180						
18	2	alaska/north-slope-borough	North Slope	Borough	185	02185						
19	2	alaska/northwest-arctic-borough	Northwest Arctic	Borough	188	02188						
20	2	alaska/petersburg-census-area	Petersburg	Census Area	195	02195						
21	2	alaska/prince-of-wales-hyder-census-area	Prince of Wales-Hyder	Census Area	198	02198						
22	2	alaska/sitka-borough	Sitka	Borough	220	02220						
23	2	alaska/skagway-borough	Skagway	Borough	230	02230						
24	2	alaska/southeast-fairbanks-census-area	Southeast Fairbanks	Census Area	240	02240						
25	2	alaska/valdez-cordova-census-area	Valdez-Cordova	Census Area	261	02261						
26	2	alaska/wade-hampton-census-area	Wade Hampton	Census Area	270	02270						
27	2	alaska/wrangell-borough	Wrangell	Borough	275	02275						
28	2	alaska/yakutat-borough	Yakutat	Borough	282	02282						
29	2	alaska/yukon-koyukuk-census-area	Yukon-Koyukuk	Census Area	290	02290						
30	1	alabama/autauga-county	Autauga	County	1	01001						
31	1	alabama/baldwin-county	Baldwin	County	3	01003						
32	1	alabama/barbour-county	Barbour	County	5	01005						
33	1	alabama/bibb-county	Bibb	County	7	01007						
34	1	alabama/blount-county	Blount	County	9	01009						
35	1	alabama/bullock-county	Bullock	County	11	01011						
36	1	alabama/butler-county	Butler	County	13	01013						
37	1	alabama/calhoun-county	Calhoun	County	15	01015						
38	1	alabama/chambers-county	Chambers	County	17	01017						
39	1	alabama/cherokee-county	Cherokee	County	19	01019						
40	1	alabama/chilton-county	Chilton	County	21	01021						
41	1	alabama/choctaw-county	Choctaw	County	23	01023						
42	1	alabama/clarke-county	Clarke	County	25	01025						
43	1	alabama/clay-county	Clay	County	27	01027						
44	1	alabama/cleburne-county	Cleburne	County	29	01029						
45	1	alabama/coffee-county	Coffee	County	31	01031						
46	1	alabama/colbert-county	Colbert	County	33	01033						
47	1	alabama/conecuh-county	Conecuh	County	35	01035						
48	1	alabama/coosa-county	Coosa	County	37	01037						
49	1	alabama/covington-county	Covington	County	39	01039						
50	1	alabama/crenshaw-county	Crenshaw	County	41	01041						
51	1	alabama/cullman-county	Cullman	County	43	01043						
52	1	alabama/dale-county	Dale	County	45	01045						
53	1	alabama/dallas-county	Dallas	County	47	01047						
54	1	alabama/dekalb-county	DeKalb	County	49	01049						
55	1	alabama/elmore-county	Elmore	County	51	01051						
56	1	alabama/escambia-county	Escambia	County	53	01053						
57	1	alabama/etowah-county	Etowah	County	55	01055						
58	1	alabama/fayette-county	Fayette	County	57	01057						
59	1	alabama/franklin-county	Franklin	County	59	01059						
60	1	alabama/geneva-county	Geneva	County	61	01061						
61	1	alabama/greene-county	Greene	County	63	01063						
62	1	alabama/hale-county	Hale	County	65	01065						
63	1	alabama/henry-county	Henry	County	67	01067						
64	1	alabama/houston-county	Houston	County	69	01069						
65	1	alabama/jackson-county	Jackson	County	71	01071						
66	1	alabama/jefferson-county	Jefferson	County	73	01073						
67	1	alabama/lamar-county	Lamar	County	75	01075						
68	1	alabama/lauderdale-county	Lauderdale	County	77	01077						
69	1	alabama/lawrence-county	Lawrence	County	79	01079						
70	1	alabama/lee-county	Lee	County	81	01081						
71	1	alabama/limestone-county	Limestone	County	83	01083						
72	1	alabama/lowndes-county	Lowndes	County	85	01085						
73	1	alabama/macon-county	Macon	County	87	01087						
74	1	alabama/madison-county	Madison	County	89	01089						
75	1	alabama/marengo-county	Marengo	County	91	01091						
76	1	alabama/marion-county	Marion	County	93	01093						
77	1	alabama/marshall-county	Marshall	County	95	01095						
78	1	alabama/mobile-county	Mobile	County	97	01097						
79	1	alabama/monroe-county	Monroe	County	99	01099						
80	1	alabama/montgomery-county	Montgomery	County	101	01101						
81	1	alabama/morgan-county	Morgan	County	103	01103						
82	1	alabama/perry-county	Perry	County	105	01105						
83	1	alabama/pickens-county	Pickens	County	107	01107						
84	1	alabama/pike-county	Pike	County	109	01109						
85	1	alabama/randolph-county	Randolph	County	111	01111						
86	1	alabama/russell-county	Russell	County	113	01113						
87	1	alabama/st-clair-county	St. Clair	County	115	01115						
88	1	alabama/shelby-county	Shelby	County	117	01117						
89	1	alabama/sumter-county	Sumter	County	119	01119						
90	1	alabama/talladega-county	Talladega	County	121	01121						
91	1	alabama/tallapoosa-county	Tallapoosa	County	123	01123						
92	1	alabama/tuscaloosa-county	Tuscaloosa	County	125	01125						
93	1	alabama/walker-county	Walker	County	127	01127						
94	1	alabama/washington-county	Washington	County	129	01129						
95	1	alabama/wilcox-county	Wilcox	County	131	01131						
96	1	alabama/winston-county	Winston	County	133	01133						
97	5	arkansas/arkansas-county	Arkansas	County	1	05001						
98	5	arkansas/ashley-county	Ashley	County	3	05003						
99	5	arkansas/baxter-county	Baxter	County	5	05005						
100	5	arkansas/benton-county	Benton	County	7	05007						
101	5	arkansas/boone-county	Boone	County	9	05009						
102	5	arkansas/bradley-county	Bradley	County	11	05011						
103	5	arkansas/calhoun-county	Calhoun	County	13	05013						
104	5	arkansas/carroll-county	Carroll	County	15	05015						
105	5	arkansas/chicot-county	Chicot	County	17	05017						
106	5	arkansas/clark-county	Clark	County	19	05019						
107	5	arkansas/clay-county	Clay	County	21	05021						
108	5	arkansas/cleburne-county	Cleburne	County	23	05023						
109	5	arkansas/cleveland-county	Cleveland	County	25	05025						
110	5	arkansas/columbia-county	Columbia	County	27	05027						
111	5	arkansas/conway-county	Conway	County	29	05029						
112	5	arkansas/craighead-county	Craighead	County	31	05031						
113	5	arkansas/crawford-county	Crawford	County	33	05033						
114	5	arkansas/crittenden-county	Crittenden	County	35	05035						
115	5	arkansas/cross-county	Cross	County	37	05037						
116	5	arkansas/dallas-county	Dallas	County	39	05039						
117	5	arkansas/desha-county	Desha	County	41	05041						
118	5	arkansas/drew-county	Drew	County	43	05043						
